deces_annee,sexe,deces_dep,n
2020,1,90,1247
2020,1,91,4489
2020,1,92,5909
2020,1,93,5078
2020,1,94,5814
2020,1,95,4529
2020,1,971,1939
2020,1,972,1862
2020,1,973,552
2020,1,974,2852
2020,1,976,496
2020,1,NA,3885
2020,2,01,2586
2020,2,02,3021
2020,2,03,2429
2020,2,04,993
2020,2,05,854
2020,2,06,6554
2020,2,07,2028
2020,2,08,1438
2020,2,09,922
2020,2,10,1636
2020,2,11,2193
2020,2,12,1785
2020,2,13,10915
2020,2,14,3991
2020,2,15,1009
2020,2,16,2077
2020,2,17,3911
2020,2,18,1921
2020,2,19,1663
2020,2,21,3043
2020,2,22,3636
2020,2,23,997
2020,2,24,2584
2020,2,25,2513
2020,2,26,2542
2020,2,27,2639
2020,2,28,2091
2020,2,29,5482
2020,2,2A,789
2020,2,2B,823
2020,2,30,3822
2020,2,31,5629
2020,2,32,1111
2020,2,33,7585
2020,2,34,5925
2020,2,35,4701
2020,2,36,1568
2020,2,37,3188
2020,2,38,5561
2020,2,39,1479
2020,2,40,2192
2020,2,41,2028
2020,2,42,4974
2020,2,43,1389
2020,2,44,6405
2020,2,45,3125
2020,2,46,1177
2020,2,47,2102
2020,2,48,482
2020,2,49,3845
2020,2,50,2814
2020,2,51,3025
2020,2,52,1086
2020,2,53,1594
2020,2,54,3999
2020,2,55,1220
2020,2,56,4293
2020,2,57,5781
2020,2,58,1514
2020,2,59,12995
2020,2,60,3523
2020,2,61,1689
2020,2,62,7551
2020,2,63,3777
2020,2,64,4057
2020,2,65,1592
2020,2,66,2953
2020,2,67,5540
2020,2,68,4246
2020,2,69,8452
2020,2,70,1177
2020,2,71,3678
2020,2,72,2993
2020,2,73,2393
2020,2,74,3604
2020,2,75,9372
